TUCASEID	WEIGHT
20190706190782	16742.0
20190706191010	2765.0
20190706191566	2765.0
20190706191772	6084.0
20190706191793	6084.0
20190706191870	4579.0
20190706192000	4317.0
20190706192060	16854.0
20190706192066	6336.0
20190706192112	8532.0
20190706192307	6336.0
20190706192308	5964.0
20190707191672	8629.0
20190707191734	5244.0
20190806191795	6084.0
20190806191971	5348.0
20190806192130	4143.0
20190807190020	19085.0
20190807190686	5244.0
20190807191237	6336.0
20190807191308	4143.0
20190807191576	3620.0
20190807191581	8532.0
20190807191689	3620.0
20190807191747	4289.0
20190807191815	8532.0
20190807192026	4289.0
20190807192394	6336.0
20190808190914	6336.0
20190907191799	4289.0
20190908190120	6336.0
20190908190601	8629.0
20190908190830	5348.0
20190908190904	5312.0
20190908190964	3620.0
20190908191012	6084.0
20190908191783	15475.0
20190908192043	4317.0
20190908192058	8629.0
20190909192230	4259.0
20191008192095	4289.0
20191008192371	5348.0
20191009190559	6336.0
20191009190577	5602.0
20191009190911	4579.0
20191009190931	5348.0
20191009191822	6336.0
20191009191928	6084.0
20191009192018	2452.0
20191009192318	3620.0
20191010190999	3018.0
20191010192256	4289.0
20191108191222	19172.0
20191110190949	6336.0
20191110191322	8629.0
20191110191497	2452.0
20191110191598	8629.0
20191110191703	8629.0
20191110191802	4289.0
20191110192279	8629.0
20191110192423	5602.0
20191111190661	6084.0
20191111191263	3620.0
20191209191101	5312.0
20191210192449	4579.0
20191211190579	2765.0
20191211191119	5244.0
20191211191120	6336.0
20191211191222	6084.0
20191211191568	6084.0
20191211191908	2523.0
20191211192003	4259.0
20191211192028	4259.0
20191211192075	4259.0
20191211192367	8629.0
20191212190815	5348.0
20191212191102	5312.0
20191212191649	5244.0
20191212191791	5312.0
20160101160069	4580.0
20160101160613	4580.0
20160101161511	5617.0
20160101161838	5727.0
20160101161870	4790.0
20160111150769	4790.0
20160111150985	4580.0
20160111151940	10435.0
20160111152489	14020.0
20160112150502	4790.0
20160112150704	5178.0
20160112150743	4470.0
20160112150765	5617.0
20160112150852	5617.0
20160112150903	4709.0
20160112150972	20073.0
20160112151113	7825.0
20160112151119	5188.0
20160112151283	4470.0
20160112151407	5439.0
20160112152287	5290.0
20160112152520	5439.0
20160201160684	5188.0
20160201160827	4790.0
20160201160871	4449.0
20160201160945	5188.0
20160201161085	17146.0
20160201161098	5617.0
20160201161101	5290.0
20160201161102	7637.0
20160201161217	5015.0
20160201161652	5188.0
20160201161728	4580.0
20160201161860	6466.0
20160201162001	5441.0
20160201162107	10435.0
20160202160969	7637.0
20160202161018	4790.0
20160202161145	5188.0
20160202161243	5727.0
20160202161386	4790.0
20160202161735	5290.0
20160202161936	4790.0
20160202161991	5617.0
20160212150893	5290.0
20160301161645	5617.0
20160302160525	4790.0
20160302160534	5727.0
20160302160582	5727.0
20160302160767	4790.0
20160302160961	5441.0
20160302160990	5617.0
20160302161180	7920.0
20160302161225	5441.0
20160302161357	4790.0
20160302161414	5727.0
20160303160555	5617.0
20160312150694	4593.0
20160402161669	4127.0
20160403160116	7825.0
20160403160518	5290.0
20160403160649	4790.0
20160403160998	5188.0
20160403161233	4408.0
20160403161351	23186.0
20160403161904	4593.0
20160403161921	5290.0
20160403161957	5727.0
20160403162025	4449.0
20160403162203	6415.0
20160403162262	4593.0
20160403162394	5188.0
20160403162463	4790.0
20160404160553	5727.0
20160404160711	5727.0
20160404161744	5439.0
20160404161890	5188.0
20160404162000	5727.0
20160503160700	12436.0
20160503161411	5519.0
20160503161826	5290.0
20160503162227	4593.0
20160503162412	4127.0
20160504160741	5290.0
20160504161027	5617.0
20160504161041	5188.0
20160504161138	5441.0
20160504161336	5188.0
20160504161351	5188.0
20160504161384	4593.0
20160504161443	4127.0
20160504161605	4127.0
20160504161912	5617.0
20160504162042	5617.0
20160504162149	5617.0
20160505160608	4127.0
20160505161031	4127.0
20160505161232	5188.0
20160505161452	6053.0
20160505161701	4790.0
20160505162192	7637.0
20160604160523	5727.0
20160604161480	5290.0
20160604162088	7825.0
20160605160059	5188.0
20160605160642	5441.0
20160605160981	6387.0
20160605161120	5290.0
20160605161193	5188.0
20160605161356	17146.0
20160605161727	5290.0
20160605162127	5617.0
20160605162479	4470.0
20160606160708	4449.0
20160705161506	6139.0
20160705162028	4593.0
20160705162374	5727.0
20160706160517	5290.0
20160706160587	31779.0
20160706160738	5727.0
20160706160764	5617.0
20160706160781	4790.0
20160706160909	4709.0
20160706160961	5290.0
20160706160980	5888.0
20160706161164	5727.0
20160706161541	4127.0
20160706161911	4709.0
20160706161961	5888.0
20160706162056	5188.0
20160706162134	5290.0
20160706162328	5519.0
20160706162352	4790.0
20160706162362	4580.0
20160706162428	5290.0
20160707161025	5617.0
20160707162179	4709.0
20160805162324	4790.0
20160806160634	5727.0
20160806162299	4790.0
20160807160669	5439.0
20160807160673	4127.0
20160807160758	4790.0
20160807160974	5188.0
20160807161255	5439.0
20160807161344	5617.0
20160807161847	5727.0
20160807161942	5617.0
20160807162133	5617.0
20160807162292	25543.0
20160807162550	4287.0
20160808161087	6918.0
20160808161642	4127.0
20160808161646	7920.0
20160808162017	5727.0
20160907161430	5188.0
20160907161974	4127.0
20160908160525	5188.0
20160908160527	4127.0
20160908160599	7637.0
20160908160628	4790.0
20160908160653	5290.0
20160908160673	4790.0
20160908161544	4593.0
20160908161677	7825.0
20160908161748	5519.0
20160908161755	5290.0
20160908161786	5617.0
20160908161849	5441.0
20160908162027	5727.0
20160908162288	5290.0
20160908162442	5439.0
20160908162524	4790.0
20160909161986	5290.0
20161008161071	5617.0
20161008161325	5617.0
20161009160013	4449.0
20161009160650	5439.0
20161009160702	4593.0
20161009161192	5617.0
20161009161384	7200.0
20161009161590	5441.0
20161009161787	4580.0
20161009161819	15209.0
20161010160521	5439.0
20161010160551	5727.0
20161010160722	4580.0
20161010161038	5519.0
20161010161542	10435.0
20161010162266	5727.0
20161010162370	4790.0
20161109161742	5888.0
20161109161914	5519.0
20161109162510	5727.0
20161110160616	4603.0
20161110160629	5290.0
20161110160832	5727.0
20161110160933	12436.0
20161110161154	5290.0
20161110161186	5727.0
20161110161235	21093.0
20161110161690	5290.0
20161110161794	7469.0
20161110161935	5617.0
20161110161970	5617.0
20161110162150	4790.0
20161110162508	5441.0
20161111161584	4709.0
20161111161887	5617.0
20161111161944	4127.0
20161211160592	4709.0
20161211160669	4790.0
20161211160809	20073.0
20161211161127	5617.0
20161211161343	4593.0
20161211161934	5290.0
20161211162096	4790.0
20161211162141	5188.0
20161211162325	13683.0
20161211162399	4790.0
20161211162488	4580.0
20161212161609	4593.0
20170101170830	5617.0
20170101171213	4287.0
20170101172535	5441.0
20170111160692	4790.0
20170111160813	7825.0
20170111161104	5727.0
20170111161660	7445.0
20170111162211	5439.0
20170112160001	4603.0
20170112160590	4580.0
20170112160721	4790.0
20170112160726	4470.0
20170112160760	5207.0
20170112160941	4127.0
20170112161579	4790.0
20170112161665	4790.0
20170112161964	4603.0
20170112162384	5290.0
20170201170116	34875.0
20170201170131	4593.0
20170201170613	4127.0
20170201170647	4790.0
20170201170673	4790.0
20170201170861	4790.0
20170201171409	4127.0
20170201171442	4790.0
20170201171445	5617.0
20170201171661	4593.0
20170201171919	5727.0
20170201172156	5290.0
20170202171239	5207.0
20170212160838	5290.0
20170212161367	4127.0
20170212161829	5290.0
20170212162180	4790.0
20170301171025	4790.0
20170301171335	5290.0
20170301171750	4790.0
20170301172079	5290.0
20170302170070	4790.0
20170302170506	5727.0
20170302170697	4127.0
20170302170734	5439.0
20170302170879	4470.0
20170302171073	5290.0
20170302171344	4790.0
20170302171346	4287.0
20170302171660	4287.0
20170302171742	5727.0
20170302172048	5617.0
20170302172097	7825.0
20170302172183	5727.0
20170302172207	5727.0
20170303170521	4790.0
20170303171031	5617.0
20170303171242	5290.0
20170303171570	5617.0
20170303171693	4790.0
20170303172035	4790.0
20170402170653	7920.0
20170402170947	4449.0
20170402171931	5617.0
20170403170653	7637.0
20170403170712	5727.0
20170403170730	6387.0
20170403170813	5727.0
20170403171000	4709.0
20170403171234	4709.0
20170403171301	7825.0
20170403171538	4790.0
20170403171551	7825.0
20170403171743	5439.0
20170403171904	5617.0
20170403172046	5290.0
20170403172061	5439.0
20170403172181	5727.0
20170403172385	5441.0
20170404170009	7825.0
20170404170824	4127.0
20170404171033	5188.0
20170404171112	5519.0
20170404172016	5188.0
20170404172102	5290.0
20170503172170	7200.0
20170503172226	4287.0
20170504170958	5441.0
20170504171235	10435.0
20170504171760	5290.0
20170504172329	5617.0
20170504172399	5727.0
20170504172481	4709.0
20170505171696	5519.0
20170603171723	5439.0
20170604170639	4593.0
20170604171193	5727.0
20170604171675	4470.0
20170604172240	21093.0
20170604172374	5188.0
20170605170634	5290.0
20170605170734	6387.0
20170605170751	5727.0
20170605170868	5727.0
20170605171370	16883.0
20170605171511	4790.0
20170605171588	7637.0
20170605172234	5290.0
20170605172454	4790.0
20170606171049	5519.0
20170606171076	4470.0
20170606171149	5617.0
20170606172317	5727.0
20170606172461	5290.0
20170704170580	4790.0
20170705170937	4580.0
20170705172165	4593.0
20170706170087	4580.0
20170706170563	7637.0
20170706170805	6387.0
20170706171070	5188.0
20170706171357	17146.0
20170706171585	5727.0
20170706171604	4580.0
20170706171651	4449.0
20170706171916	5290.0
20170706171995	5439.0
20170706172135	5439.0
20170706172171	4709.0
20170706172244	5439.0
20170706172423	5727.0
20170707170551	4790.0
20170707171430	5290.0
20170707171889	5617.0
20170806170102	4127.0
